year,artist,track,time,date,week,rank
2000,2 Pac,Baby Don't Cry,4:22,2000-02-26,1,87
2000,2 Pac,Baby Don't Cry,4:22,2000-03-04,2,82
2000,2 Pac,Baby Don't Cry,4:22,2000-03-11,3,72
2000,A*Teens,Dancing Queen,3:44,2000-07-08,1,97
2000,A*Teens,Dancing Queen,3:44,2000-07-15,2,97
2000,A*Teens,Dancing Queen,3:44,2000-07-22,3,96
2000,98^0,Give Me Just One Nig...,3:24,2000-08-19,1,51
2000,98^0,Give Me Just One Nig...,3:24,2000-08-26,2,39
2000,98^0,Give Me Just One Nig...,3:24,2000-09-02,3,34
2000,Aaliyah,I Don't Wanna,4:15,2000-01-29,1,84
2000,Aaliyah,I Don't Wanna,4:15,2000-02-05,2,62
2000,Aaliyah,I Don't Wanna,4:15,2000-02-12,3,51
2000,3 Doors Down,Kryptonite,3:53,2000-04-08,1,81
2000,3 Doors Down,Kryptonite,3:53,2000-04-15,2,70
2000,3 Doors Down,Kryptonite,3:53,2000-04-22,3,68
2000,"Adams, Yolanda",Open My Heart,5:30,2000-08-26,1,76
2000,"Adams, Yolanda",Open My Heart,5:30,2000-09-02,2,76
2000,"Adams, Yolanda",Open My Heart,5:30,2000-09-09,3,74
2000,2Ge+her,The Hardest Part Of ...,3:15,2000-09-02,1,91
2000,2Ge+her,The Hardest Part Of ...,3:15,2000-09-09,2,87
2000,2Ge+her,The Hardest Part Of ...,3:15,2000-09-16,3,92
2000,Aaliyah,Try Again,4:03,2000-03-18,1,59
2000,Aaliyah,Try Again,4:03,2000-03-25,2,53
2000,Aaliyah,Try Again,4:03,2000-04-01,3,38
